name,feature,location,regional_c,map_reference,dms_latitude,dms_longitude,utm_northing,utm_easting,object_id,latitude,longitude
Harrison Falls,Falls,"Barima r., 58 ½ km or 36 ½ mi. above Arakaka r.",111211,4SW,"7° 36' 16"" N","60° 20' 44"" W",842006,130767,4918,7.604499999999993,-60.34559999999999
Harto Creek,Creek,"Eastern side Hog Id., in the estuary of Essequibo r., 9 ½ km or 6 mi. above Kamaka ck.",312124,19NE,"6° 46' 29"" N","58° 33' 3"" W",749122,328590,4919,6.774799999999996,-58.55100000000001
Harukaru Creek,Creek,"R.b. Katapuli ck., l.b. Demerara r., 2 km or 1 mi. up.",01213,28SW,"6° 1' 48"" N","58° 19' 4"" W",666704,354127,4920,6.030099999999995,-58.3181
Haslington,Village,"East Coast Demerara, 24 ½ km or 15 mi. from Georgetown.",42114,21NW,"6° 45' 12"" N","57° 59' 6"" W",746615,391132,4921,6.753599999999985,-57.98510000000001
Hassa Creek,Creek,"L.b. Maramara r., l.b. Puruni r., l.b. Mazaruni r., l.b. Essequibo r., 7 ½ km or 4 ½ mi. up.",722122,26NW,"6° 20' 48"" N","59° 18' 5"" W",702099,245400,4922,6.346700000000004,-59.3014
Haswell,Village,"Corentyne Coast, 23 ½ km or 14 ½ mi. from New Amstedam.",622312,30SW,"6° 15' 49"" N","57° 21' 15"" W",692372,460807,4923,6.263699999999991,-57.3543
Hate or Head Falls,Falls,"Essequibo r., 35 km or 21 ½ mi. above Bartica.",011222,27SE,"6° 6' 48"" N","58° 35' 5"" W",675998,324633,4924,6.113399999999998,-58.584700000000005
Hauraruni River,River,"R.b. Demerara r., 37 ½ km or 23 ½ mi. up.",41,20SW,"6° 27' 47"" N","58° 17' 4"" W",714582,357945,4925,6.463199999999986,-58.2846
Haurukabra Creek,Creek,"L.b. Arampa r., r.b. Demerara r., 3 ½ km or 2 mi. up.",012222,37SW,"5° 32' 40"" N","58° 20' 2"" W",613037,352238,4926,5.544699999999995,-58.333999999999996
Haversham,Village,"Corentyne Coast, 44 km or 27 ½ mi. from New Amsterdam.",631123,30SE,"6° 7' 48"" N","57° 12' 38"" W",677604,476702,4927,6.13019999999999,-57.2106
Hawina Creek,Creek,"R.b. Kaituma r., l.b. Barima r., 5 ½ km or 3 ½ mi. up.",112123,1SE,"8° 7' 55"" N","59° 40' 22"" W",899881,205438,4928,8.1322,-59.67289999999999
Hawk Creek,Creek,"R.b. Kukui r., l.b. Mazaruni r., l.b. Essequibo r., 84 km or 52 mi. up.",721153,41NW,"5° 22' 48"" N","60° 18' 5"" W",595663,134035,4929,5.380000000000009,-60.30149999999999
Hawkins Mission,Settlement,"L.b. Nappi r., l.b. Pirara r., l.b. Ireng r., r.b. Takutu r., 1 ½ km or 1 mi. N. of Parishara.",911127,64NE,"3° 28' 15"" N","59° 33' 58"" W",384038,214859,4930,3.470999999999998,-59.5663
Haynes Creek,Creek,"L.b. Toanoka ck., l.b. Issano r., r.b. Mazaruni r., l.b. Essequibo r., 1 km or ½ mi. up.",722131,35NW,"5° 47' 48"" N","59° 28' 5"" W",641328,226673,4931,5.7967,-59.46809999999999
Head or Hate Falls,Falls,"Essequibo r., 35 km or 21 ½ mi. above Bartica.",011222,27SE,"6° 6' 49"" N","58° 35' 2"" W",676037,324713,4932,6.113800000000002,-58.58400000000001
Heathfield,Estate,"R.b. Pomeroon r., 9 km or 5 ½ mi. up.",212213,12NE,"7° 33' 55"" N","58° 42' 5"" W",836624,312269,4933,7.5653999999999915,-58.7016
Hebasina Creek,Creek,"R.b. Yarikita r., r.b. Amakura r., 5 ½ km or 3 ½ mi. up.",112115,1SW,"8° 0' 54"" N","59° 59' 18"" W",887180,170553,4934,8.015199999999986,-59.988400000000006
Helena Number One,Village,"L.b. Mahaica r., 4 ½ km or 3 mi. up and 39 km or 24 mi. from Georgetown.",421154,21SW,"6° 40' 19"" N","57° 55' 24"" W",737596,397942,4935,6.6721,-57.92329999999999
Hellgate Itabu,Itabu,"L.b. Demerara r., 98 km or 61 mi. above a point opp. Karakara r., Linden.",012223,37SW,"5° 30' 48"" N","58° 22' 4"" W",609587,348455,4936,5.513399999999997,-58.3681
Hell Gate Fall - See Harrison Falls,Falls,"Barima r., 58 ½ km or 36 ½ mi. above Arakaka r.",111211,4SW,"7° 36' 22"" N","60° 20' 46"" W",842199,130684,4937,7.606299999999985,-60.3464
Helvetia,Estate,"L.b. Berbice r., 17 ½ km or 11 mi. above a point opp. Bartica ck.",022211,38NE,"5° 46' 45"" N","57° 43' 23"" W",638871,419928,4938,5.779400000000003,-57.723200000000006
Hena River,River,"L.b. Sabaina r., l.b. Morebo r., l.b. Waini r., 5 km or 3 mi. up.",121122,6NW,"7° 49' 0"" N","59° 19' 25"" W",864766,243741,4939,7.816900000000004,-59.3238
Hendebaru Creek,Creek,"R.b. Demerara r., 36 ½ km or 22 ½ mi. above Ororo Marali or Great Falls.",012312,44SE,"5° 6' 24"" N","58° 38' 19"" W",564706,318349,4940,5.106800000000006,-58.6387
Hensrietta,Estate,"Southern side of Leguan Id., in the estuary of Essequibo r., 7 km or 4 ½ mi. Southwestwards of Enterprise.",312231,20NW,"6° 53' 40"" N","58° 27' 34"" W",762356,338738,4941,6.8947,-58.4595
